id,PG,SG,SF,PF,C,sum,label_name
Michael Kidd-Gilchrist,0,0,1,0,0,196,Michael Kidd-Gilchrist
Mirza Teletovic,0,0,1,1,0,70,Mirza Teletovic
Nando De Colo,0,1,1,0,0,53,Nando De Colo
Nick Collison,0,0,0,1,1,68,Nick Collison
O.J. Mayo,0,1,0,0,0,126,O.J. Mayo
Omer Asik,0,0,0,0,1,154,Omer Asik
P.J. Tucker,0,1,1,0,0,57,P.J. Tucker
Pablo Prigioni,1,0,0,0,0,91,Pablo Prigioni
Patrick Patterson,0,0,0,1,0,93,Patrick Patterson
Randy Foye,1,1,0,0,0,101,Randy Foye
Rasheed Wallace,0,0,0,1,1,70,Rasheed Wallace
Reggie Evans,0,0,0,1,0,95,Reggie Evans
Royce White,0,0,0,1,0,41,Royce White
Sam Young,0,1,1,0,0,24,Sam Young
Samardo Samuels,0,0,0,1,1,9,Samardo Samuels
Spencer Hawes,0,0,0,1,1,149,Spencer Hawes
Steve Novak,0,0,1,1,0,87,Steve Novak
Taj Gibson,0,0,0,1,0,199,Taj Gibson
Terrence Ross,0,1,1,0,0,91,Terrence Ross
Thabo Sefolosha,0,1,1,0,0,158,Thabo Sefolosha
Thomas Robinson,0,0,0,1,0,83,Thomas Robinson
Tiago Splitter,0,0,0,1,1,184,Tiago Splitter
Tim Hardaway,0,0,0,0,0,87,Tim Hardaway
Timofey Mozgov,0,0,0,0,1,121,Timofey Mozgov
Tony Allen,1,1,0,0,0,145,Tony Allen
Tornike Shengelia,0,0,1,0,0,13,Tornike Shengelia
Trevor Booker,0,0,0,1,0,41,Trevor Booker
Tyler Zeller,0,0,0,0,1,123,Tyler Zeller
Tyshawn Taylor,1,0,0,0,0,30,Tyshawn Taylor
Wesley Johnson,0,1,1,0,0,51,Wesley Johnson
Willie Green,0,1,0,0,0,47,Willie Green
Yi Jianlian,0,0,0,1,0,8,Yi Jianlian
Andrea Bargnani,0,0,0,1,1,105,Andrea Bargnani
Armon Johnson,1,0,0,0,0,2,Armon Johnson
Brad Miller,0,0,0,1,1,16,Brad Miller
C.J. Watson,1,0,0,0,0,109,C.J. Watson
Courtney Lee,0,1,0,0,0,91,Courtney Lee
D.J. White,0,0,0,1,1,11,D.J. White
DeJuan Blair,0,0,0,1,1,48,DeJuan Blair
Earl Barron,0,0,0,0,1,10,Earl Barron
Ike Diogu,0,0,0,1,0,12,Ike Diogu
Mike James,1,0,0,0,0,40,Mike James
Nolan Smith,1,0,0,0,0,8,Nolan Smith
Tony Battie,0,0,0,1,1,2,Tony Battie
Zaza Pachulia,0,0,0,0,1,120,Zaza Pachulia
Dennis Horner,0,0,0,1,0,1,Dennis Horner
Larry Owens,0,0,1,0,0,1,Larry Owens
Linas Kleiza,0,0,1,1,0,23,Linas Kleiza
Mike Harris,0,0,0,1,0,3,Mike Harris
Antawn Jamison,0,0,1,1,0,66,Antawn Jamison
Christian Eyenga,0,0,1,0,0,8,Christian Eyenga
Donald Sloan,1,1,0,0,0,26,Donald Sloan
Ersan Ilyasova,0,0,0,1,0,130,Ersan Ilyasova
Kosta Koufos,0,0,0,0,1,61,Kosta Koufos
Alonzo Gee,0,1,1,0,0,62,Alonzo Gee
Mychel Thompson,0,1,0,0,0,4,Mychel Thompson
Raja Bell,0,1,0,0,0,21,Raja Bell
Ben Uzoh,1,0,0,0,0,4,Ben Uzoh
Erick Dampier,0,0,0,0,1,5,Erick Dampier
Ivan Johnson,0,0,0,1,0,46,Ivan Johnson
Kelly Oubre Jr.,0,0,1,0,0,12,Kelly Oubre Jr.
Stanley Johnson,0,0,1,0,0,65,Stanley Johnson
Andre Emmett,0,1,1,0,0,3,Andre Emmett
Dahntay Jones,0,1,1,0,0,52,Dahntay Jones
Renaldo Balkman,0,0,1,1,0,7,Renaldo Balkman
Rodrigue Beaubois,1,0,0,0,0,19,Rodrigue Beaubois
Bobby Simmons,0,1,1,1,0,3,Bobby Simmons
Jeff Foote,0,0,0,0,1,1,Jeff Foote
Jodie Meeks,0,1,0,0,0,87,Jodie Meeks
T.J. Ford,1,0,0,0,0,6,T.J. Ford
Greg Stiemsma,0,0,0,0,1,56,Greg Stiemsma
Hasheem Thabeet,0,0,0,0,1,35,Hasheem Thabeet
James Johnson,0,0,1,1,0,30,James Johnson
Jason Kapono,0,1,1,0,0,5,Jason Kapono
Jonny Flynn,1,0,0,0,0,16,Jonny Flynn
Luke Walton,0,0,1,1,0,87,Luke Walton
Patty Mills,1,0,0,0,0,45,Patty Mills
Steve Blake,1,0,0,0,0,116,Steve Blake
Terrence Williams,0,1,1,0,0,10,Terrence Williams
Alan Williams,0,0,0,1,0,9,Alan Williams
Andres Nocioni,0,0,1,1,0,10,Andres Nocioni
Cory Joseph,1,1,0,0,0,74,Cory Joseph
Elliot Williams,1,1,0,0,0,12,Elliot Williams
Kelenna Azubuike,0,1,1,0,0,8,Kelenna Azubuike
Leandro Barbosa,1,1,0,0,0,53,Leandro Barbosa
Royal Ivey,1,1,0,0,0,24,Royal Ivey
Ryan Reid,0,0,0,1,0,1,Ryan Reid
Austin Rivers,1,1,0,0,0,133,Austin Rivers
James Michael McAdoo,0,0,0,1,0,11,James Michael McAdoo
Lester Hudson,1,1,0,0,0,10,Lester Hudson
P.J. Hairston,0,1,1,0,0,36,P.J. Hairston
Reggie Bullock,0,0,1,0,0,26,Reggie Bullock
Chris Johnson,0,0,0,0,0,32,Chris Johnson
Quentin Richardson,0,1,1,0,0,20,Quentin Richardson
Devin Booker,0,1,0,0,0,28,Devin Booker
Devin Ebanks,0,1,1,0,0,18,Devin Ebanks
James Singleton,0,0,1,1,0,3,James Singleton
Archie Goodwin,1,1,0,0,0,24,Archie Goodwin
Dan Gadzuric,0,0,0,1,1,6,Dan Gadzuric
Darius Miller,0,0,1,0,0,28,Darius Miller
Doron Lamb,0,1,0,0,0,36,Doron Lamb
Jon Brockman,0,0,0,1,1,6,Jon Brockman
Morris Almond,0,1,0,0,0,1,Morris Almond
Nerlens Noel,0,0,0,1,1,163,Nerlens Noel
Terrence Jones,0,0,0,1,0,97,Terrence Jones
Alexis Ajinca,0,0,0,1,1,12,Alexis Ajinca
Cartier Martin,0,0,1,0,0,38,Cartier Martin
Chris Quinn,1,1,0,0,0,6,Chris Quinn
Chris Wright,0,0,0,0,0,12,Chris Wright
Joe Smith,0,0,1,1,1,3,Joe Smith
Larry Hughes,1,1,1,0,0,7,Larry Hughes
Troy Murphy,0,0,0,1,0,9,Troy Murphy
Casper Ware,1,0,0,0,0,5,Casper Ware
Jae Crowder,0,0,1,0,0,79,Jae Crowder
Kim English,0,1,0,0,0,15,Kim English
Meyers Leonard,0,0,0,1,1,59,Meyers Leonard
Miles Plumlee,0,0,0,0,1,54,Miles Plumlee
Robbie Hummel,0,0,1,0,0,18,Robbie Hummel
Arnett Moultrie,0,0,0,1,0,61,Arnett Moultrie
Jeremy Lamb,0,1,1,0,0,81,Jeremy Lamb
Xavier Henry,0,1,1,0,0,55,Xavier Henry
Cameron Payne,1,0,0,0,0,18,Cameron Payne
Justin Hamilton,0,0,0,0,1,25,Justin Hamilton
Mike Scott,0,0,0,1,0,63,Mike Scott
Robert Sacre,0,0,0,0,1,31,Robert Sacre
Bernard James,0,0,0,0,1,29,Bernard James
Kent Bazemore,0,1,1,0,0,42,Kent Bazemore
Kris Joseph,0,0,1,0,0,21,Kris Joseph
Perry Jones,0,0,1,1,0,44,Perry Jones
Quincy Acy,0,0,1,1,0,19,Quincy Acy
Andrew Goudelock,1,1,0,0,0,9,Andrew Goudelock
Darius Johnson-Odom,0,1,0,0,0,8,Darius Johnson-Odom
Furkan Aldemir,0,0,0,1,0,6,Furkan Aldemir
Jared Cunningham,0,1,0,0,0,22,Jared Cunningham
Khris Middleton,0,1,1,0,0,91,Khris Middleton
Orlando Johnson,0,1,0,0,0,27,Orlando Johnson
Donatas Motiejunas,0,0,0,1,0,59,Donatas Motiejunas
Fab Melo,0,0,0,0,1,6,Fab Melo
Kyle O'Quinn,0,0,0,1,1,38,Kyle O'Quinn
Ognjen Kuzmic,0,0,0,0,1,21,Ognjen Kuzmic
Darryl Watkins,0,0,0,0,1,2,Darryl Watkins
James White,0,1,1,0,0,13,James White
Joel Freeland,0,0,0,1,1,28,Joel Freeland
Pape Sy,0,0,1,0,0,1,Pape Sy
Victor Claver,0,0,1,0,0,27,Victor Claver
Will Barton,0,1,0,0,0,30,Will Barton
Hakim Warrick,0,0,0,1,0,21,Hakim Warrick
Hassan Whiteside,0,0,0,0,1,80,Hassan Whiteside
Jonas Valanciunas,0,0,0,0,1,126,Jonas Valanciunas
Josh Childress,0,1,1,0,0,7,Josh Childress
Kostas Papanikolaou,0,0,1,0,0,29,Kostas Papanikolaou
D.J. Kennedy,0,0,1,0,0,6,D.J. Kennedy
Chris Smith,0,0,0,0,0,12,Chris Smith
Dionte Christmas,0,0,1,0,0,7,Dionte Christmas
Maalik Wayns,1,0,0,0,0,32,Maalik Wayns
Nenad Krstic,0,0,0,1,1,9,Nenad Krstic
Jarvis Varnado,0,0,0,1,0,15,Jarvis Varnado
Scott Machado,1,0,0,0,0,4,Scott Machado
Shelvin Mack,1,1,0,0,0,12,Shelvin Mack
Jerel McNeal,1,0,0,0,0,5,Jerel McNeal
Francisco Elson,0,0,0,0,1,1,Francisco Elson
Hollis Thompson,0,1,1,0,0,10,Hollis Thompson
Jabari Parker,0,0,1,1,0,200,Jabari Parker
Rodney Carney,0,1,1,0,0,2,Rodney Carney
Kyrylo Fesenko,0,0,0,0,1,6,Kyrylo Fesenko
Luke Babbitt,0,0,1,1,0,13,Luke Babbitt
Tony Wroten,1,1,0,0,0,45,Tony Wroten
Will Conroy,1,1,0,0,0,7,Will Conroy
Justin Holiday,0,1,0,0,0,17,Justin Holiday
Nikola Mirotic,0,0,0,1,0,134,Nikola Mirotic
Solomon Jones,0,0,0,1,1,10,Solomon Jones
Kevin Murphy,0,1,0,0,0,15,Kevin Murphy
Seth Curry,1,0,0,0,0,21,Seth Curry
Chris Copeland,0,0,1,1,0,73,Chris Copeland
Diante Garrett,1,0,0,0,0,12,Diante Garrett
Jimmy Butler,0,1,1,0,0,212,Jimmy Butler
Luke Zeller,0,0,0,0,1,7,Luke Zeller
DeMarre Carroll,0,0,1,1,0,152,DeMarre Carroll
Quincy Miller,0,0,0,1,0,19,Quincy Miller
Viacheslav Kravtsov,0,0,0,0,1,8,Viacheslav Kravtsov
Ben McLemore,0,1,0,0,0,66,Ben McLemore
Matthew Dellavedova,1,1,0,0,0,76,Matthew Dellavedova
Michael Carter-Williams,1,0,0,0,0,156,Michael Carter-Williams
Patrick Beverley,1,0,0,0,0,90,Patrick Beverley
Pero Antic,0,0,0,1,0,44,Pero Antic
Shabazz Muhammad,0,1,1,0,0,81,Shabazz Muhammad
Solomon Hill,0,0,1,0,0,39,Solomon Hill
Tony Snell,0,1,1,0,0,45,Tony Snell
Trey Burke,1,0,0,0,0,85,Trey Burke
Victor Oladipo,1,1,0,0,0,134,Victor Oladipo
Mickael Gelabale,0,1,1,0,0,14,Mickael Gelabale
Aron Baynes,0,0,0,0,1,44,Aron Baynes
DaJuan Summers,0,0,1,1,0,7,DaJuan Summers
Tim Ohlbrecht,0,0,0,0,1,5,Tim Ohlbrecht
Donte Greene,0,0,1,1,0,8,Donte Greene
Henry Sims,0,0,0,0,1,17,Henry Sims
Josh Akognon,1,0,0,0,0,4,Josh Akognon
Kyle Weaver,0,1,0,0,0,1,Kyle Weaver
Orien Greene,1,1,0,0,0,1,Orien Greene
Ronald Dupree,0,0,1,0,0,1,Ronald Dupree
Shavlik Randolph,0,0,0,1,0,13,Shavlik Randolph
Tony Mitchell,0,0,0,0,0,18,Tony Mitchell
Willie Reed,0,0,0,1,0,3,Willie Reed
Brian Scalabrine,0,0,0,1,1,13,Brian Scalabrine
Cody Zeller,0,0,0,0,1,65,Cody Zeller
Joey Dorsey,0,0,0,1,1,16,Joey Dorsey
Sergey Karasev,0,1,1,0,0,24,Sergey Karasev
Jordan Adams,0,1,0,0,0,4,Jordan Adams
Willie Cauley-Stein,0,0,0,0,1,39,Willie Cauley-Stein
Russ Smith,1,0,0,0,0,22,Russ Smith
Jason Williams,1,0,0,0,0,4,Jason Williams
Anthony Bennett,0,0,0,1,0,85,Anthony Bennett
Brandon Davies,0,0,0,1,0,13,Brandon Davies
Carrick Felix,0,1,0,0,0,24,Carrick Felix
Ian Clark,0,1,0,0,0,10,Ian Clark
Jack Cooley,0,0,0,1,0,9,Jack Cooley
James Ennis,0,0,1,0,0,22,James Ennis
James Southerland,0,0,1,0,0,4,James Southerland
JaMychal Green,0,0,0,1,0,7,JaMychal Green
Robert Covington,0,0,1,0,0,25,Robert Covington
Shane Larkin,1,0,0,0,0,50,Shane Larkin
Jarron Collins,0,0,0,0,1,3,Jarron Collins
Otto Porter,0,0,1,0,0,79,Otto Porter
Alex Len,0,0,0,0,1,42,Alex Len
Allen Crabbe,0,1,0,0,0,18,Allen Crabbe
Andrew Wiggins,0,0,1,0,0,312,Andrew Wiggins
C.J. McCollum,0,1,0,0,0,53,C.J. McCollum
Gorgui Dieng,0,0,0,0,1,55,Gorgui Dieng
Jamaal Franklin,0,1,0,0,0,10,Jamaal Franklin
Jeff Withey,0,0,0,0,1,23,Jeff Withey
Kelly Olynyk,0,0,0,0,1,82,Kelly Olynyk
Kentavious Caldwell-Pope,0,1,0,0,0,40,Kentavious Caldwell-Pope
Lucas Nogueira,0,0,0,0,1,25,Lucas Nogueira
Marcus Smart,1,0,0,0,0,98,Marcus Smart
Mason Plumlee,0,0,0,1,1,85,Mason Plumlee
Nate Wolters,1,0,0,0,0,21,Nate Wolters
Rudy Gobert,0,0,0,0,1,80,Rudy Gobert
Steven Adams,0,0,0,0,1,27,Steven Adams
Ricky Ledo,0,1,0,0,0,14,Ricky Ledo
Phil Pressey,1,0,0,0,0,17,Phil Pressey
Isaiah Canaan,1,1,0,0,0,23,Isaiah Canaan
Elias Harris,0,0,1,0,0,4,Elias Harris
Nemanja Nedovic,0,1,0,0,0,20,Nemanja Nedovic
Ray McCallum,1,0,0,0,0,34,Ray McCallum
Ryan Kelly,0,0,0,1,0,24,Ryan Kelly
Toure' Murry,1,1,0,0,0,5,Toure' Murry
Vitor Faverani,0,0,0,0,1,11,Vitor Faverani
Andre Roberson,0,1,0,1,0,38,Andre Roberson
Arinze Onuaku,0,0,0,1,1,5,Arinze Onuaku
Erick Green,1,0,0,0,0,5,Erick Green
Erik Murphy,0,0,0,0,1,17,Erik Murphy
Gal Mekel,1,0,0,0,0,19,Gal Mekel
Giannis Antetokounmpo,1,1,1,0,0,89,Giannis Antetokounmpo
Grant Jerrett,0,0,0,1,0,17,Grant Jerrett
Joffrey Lauvergne,0,0,0,0,1,7,Joffrey Lauvergne
Lorenzo Brown,1,0,0,0,0,12,Lorenzo Brown
Mike Muscala,0,0,0,1,1,25,Mike Muscala
Nick Calathes,0,1,0,0,0,31,Nick Calathes
Peyton Siva,0,1,0,0,0,7,Peyton Siva
Raul Neto,1,0,0,0,0,6,Raul Neto
Dennis Schroder,1,0,0,0,0,50,Dennis Schroder
Gigi Datome,0,0,1,0,0,16,Gigi Datome
Miroslav Raduljica,0,0,0,0,1,16,Miroslav Raduljica
Othyus Jeffers,0,1,0,0,0,5,Othyus Jeffers
James Jones,0,1,1,0,0,40,James Jones
Bojan Bogdanovic,0,0,1,0,0,39,Bojan Bogdanovic
Eugene Jeter,1,0,0,0,0,1,Eugene Jeter
Zoran Dragic,0,1,0,0,0,18,Zoran Dragic
Tibor Pleiss,0,0,0,0,1,10,Tibor Pleiss
James Nunnally,0,0,1,0,0,2,James Nunnally
Kalin Lucas,1,0,0,0,0,5,Kalin Lucas
Patrick Christopher,0,1,0,0,0,4,Patrick Christopher
Jeff Ayres,0,0,0,1,1,3,Jeff Ayres
Sean Marks,0,0,0,1,1,7,Sean Marks
Troy Daniels,0,1,0,0,0,14,Troy Daniels
Dewayne Dedmon,0,0,0,0,1,7,Dewayne Dedmon
Jermaine Taylor,0,1,0,0,0,1,Jermaine Taylor
Josh Powell,0,0,0,1,1,2,Josh Powell
D'Angelo Russell,1,0,0,0,0,82,D'Angelo Russell
Elfrid Payton,1,0,0,0,0,113,Elfrid Payton
Frank Kaminsky,0,0,0,0,1,40,Frank Kaminsky
Jahlil Okafor,0,0,0,0,1,110,Jahlil Okafor
Kristaps Porzingis,0,0,0,1,0,84,Kristaps Porzingis
Zach LaVine,1,1,0,0,0,128,Zach LaVine
Hilton Armstrong,0,0,0,1,1,5,Hilton Armstrong
Jordan Clarkson,1,1,0,0,0,60,Jordan Clarkson
Jusuf Nurkic,0,0,0,0,1,53,Jusuf Nurkic
Markel Brown,0,1,0,0,0,9,Markel Brown
Tarik Black,0,0,0,0,1,17,Tarik Black
David Wear,0,0,0,1,0,2,David Wear
Sim Bhullar,0,0,0,0,1,8,Sim Bhullar
Shabazz Napier,1,0,0,0,0,51,Shabazz Napier
Bobby Portis,0,0,0,1,0,22,Bobby Portis
Cristiano Felicio,0,0,0,0,1,1,Cristiano Felicio
Doug McDermott,0,0,1,0,0,76,Doug McDermott
Jorge Gutierrez,1,0,0,0,0,13,Jorge Gutierrez
Jarnell Stokes,0,0,0,1,1,26,Jarnell Stokes
Alex Kirk,0,0,0,0,1,17,Alex Kirk
Adreian Payne,0,0,0,1,0,39,Adreian Payne
Dante Exum,1,0,0,0,0,85,Dante Exum
Tyler Ennis,1,0,0,0,0,53,Tyler Ennis
DeMarcus Cousins,0,0,0,0,1,27,DeMarcus Cousins
JaKarr Sampson,0,0,1,0,0,5,JaKarr Sampson
Bryce Cotton,1,0,0,0,0,7,Bryce Cotton
Elijah Millsap,0,1,0,0,0,6,Elijah Millsap
Joe Ingles,0,0,1,0,0,20,Joe Ingles
Rodney Hood,0,1,0,0,0,47,Rodney Hood
Julian Wright,0,0,1,0,0,1,Julian Wright
Noah Vonleh,0,0,0,1,0,62,Noah Vonleh
Aaron Gordon,0,0,0,1,0,62,Aaron Gordon
Cory Jefferson,0,0,0,1,0,13,Cory Jefferson
Damjan Rudez,0,0,1,0,0,20,Damjan Rudez
Jerami Grant,0,0,1,0,0,29,Jerami Grant
Julius Randle,0,0,0,1,0,106,Julius Randle
Langston Galloway,1,0,0,0,0,17,Langston Galloway
Mitch McGary,0,0,0,1,0,51,Mitch McGary
Justise Winslow,0,0,1,0,0,49,Justise Winslow
Tyus Jones,1,0,0,0,0,33,Tyus Jones
Gary Harris,0,1,0,0,0,29,Gary Harris
Nik Stauskas,0,1,0,0,0,77,Nik Stauskas
Nick Johnson,0,1,0,0,0,19,Nick Johnson
Rondae Hollis-Jefferson,0,0,1,0,0,31,Rondae Hollis-Jefferson
Karl-Anthony Towns,0,0,0,0,1,101,Karl-Anthony Towns
Myles Turner,0,0,0,0,1,31,Myles Turner
Trey Lyles,0,0,0,1,0,24,Trey Lyles
James Young,0,1,0,0,0,27,James Young
Tyler Johnson,0,1,0,0,0,11,Tyler Johnson
Delon Wright,1,0,0,0,0,11,Delon Wright
Emmanuel Mudiay,1,0,0,0,0,73,Emmanuel Mudiay
Jerian Grant,1,0,0,0,0,34,Jerian Grant
Mario Hezonja,0,0,1,0,0,35,Mario Hezonja
Sam Dekker,0,0,1,0,0,15,Sam Dekker
James Posey,0,1,1,1,0,5,James Posey
Eric Moreland,0,0,0,1,0,55,Eric Moreland
Clint Capela,0,0,0,0,1,26,Clint Capela
Bruno Caboclo,0,0,1,0,0,12,Bruno Caboclo
Damien Inglis,0,0,1,0,0,9,Damien Inglis
Jabari Brown,0,1,0,0,0,7,Jabari Brown
Johnny O'Bryant,0,0,0,1,0,16,Johnny O'Bryant
Kyle Anderson,0,0,1,0,0,26,Kyle Anderson
Nikola Jokic,0,0,0,0,1,10,Nikola Jokic
Quinton Ross,0,1,1,0,0,5,Quinton Ross
Spencer Dinwiddie,1,0,0,0,0,15,Spencer Dinwiddie
Aaron Harrison,0,1,0,0,0,23,Aaron Harrison
Joe Harris,0,1,0,0,0,16,Joe Harris
Justin Anderson,0,0,1,0,0,17,Justin Anderson
Josh Richardson,0,1,0,0,0,9,Josh Richardson
Norman Powell,0,1,0,0,0,17,Norman Powell
T.J. Warren,0,0,1,0,0,1,T.J. Warren
Adonis Thomas,0,0,1,0,0,4,Adonis Thomas
Cleanthony Early,0,0,1,0,0,17,Cleanthony Early
Anthony Brown,0,0,1,0,0,5,Anthony Brown
Chris McCullough,0,0,0,1,0,7,Chris McCullough
Jarell Martin,0,0,0,1,0,10,Jarell Martin
Jordan Mickey,0,0,0,1,0,18,Jordan Mickey
Joseph Young,1,0,0,0,0,10,Joseph Young
Montrezl Harrell,0,0,0,1,0,12,Montrezl Harrell
Pat Connaughton,0,1,0,0,0,18,Pat Connaughton
R.J. Hunter,0,1,0,0,0,21,R.J. Hunter
Rashad Vaughn,0,1,0,0,0,10,Rashad Vaughn
Terry Rozier,1,0,0,0,0,14,Terry Rozier
Carlos Arroyo,1,1,0,0,0,1,Carlos Arroyo
Etan Thomas,0,0,0,1,1,2,Etan Thomas
Pops Mensah-Bonsu,0,0,0,1,0,1,Pops Mensah-Bonsu
Cameron Bairstow,0,0,0,1,1,8,Cameron Bairstow
Thanasis Antetokounmpo,0,0,1,0,0,11,Thanasis Antetokounmpo
C.J. Wilcox,0,1,0,0,0,12,C.J. Wilcox
Devyn Marble,0,1,0,0,0,10,Devyn Marble
Josh Huestis,0,0,0,1,0,11,Josh Huestis
Lamar Patterson,0,1,0,0,0,11,Lamar Patterson
Walter Tavares,0,0,0,0,1,13,Walter Tavares
Jordan McRae,1,0,0,0,0,9,Jordan McRae
Sasha Vujacic,1,1,0,0,0,8,Sasha Vujacic
Branden Dawson,0,0,0,1,0,27,Branden Dawson
Travis Wear,0,0,1,0,0,5,Travis Wear
Dwight Powell,0,0,0,1,0,38,Dwight Powell
Nemanja Bjelica,0,0,0,1,0,14,Nemanja Bjelica
Darrun Hilliard,0,1,0,0,0,2,Darrun Hilliard
Tim Frazier,1,0,0,0,0,3,Tim Frazier
Kevon Looney,0,0,0,1,0,11,Kevon Looney
Richaun Holmes,0,0,0,1,0,7,Richaun Holmes
K.J. McDaniels,0,1,1,0,0,1,K.J. McDaniels
Shayne Whittington,0,0,0,1,0,6,Shayne Whittington
Boban Marjanovic,0,0,0,0,1,1,Boban Marjanovic
Theo Ratliff,0,0,0,1,1,2,Theo Ratliff
Henry Walker,0,1,1,0,0,8,Henry Walker
David Stockton,1,0,0,0,0,1,David Stockton
Acie Law,1,0,0,0,0,2,Acie Law
Vander Blue,0,1,0,0,0,2,Vander Blue
Salah Mejri,0,0,0,0,1,2,Salah Mejri
Andre Dawkins,0,1,0,0,0,4,Andre Dawkins
Scotty Hopson,0,1,0,0,0,9,Scotty Hopson
Sonny Weems,0,1,1,0,0,3,Sonny Weems
Sean Kilpatrick,0,1,0,0,0,4,Sean Kilpatrick
Chris Babb,0,1,0,0,0,5,Chris Babb
Fabricio Oberto,0,0,0,1,1,6,Fabricio Oberto
Christian Wood,0,0,0,1,0,5,Christian Wood
Briante Weber,1,0,0,0,0,2,Briante Weber
Shane Edwards,0,0,1,0,0,2,Shane Edwards
David Andersen,0,0,0,1,1,1,David Andersen
J.J. O'Brien,0,0,1,0,0,3,J.J. O'Brien
Keith Appling,1,0,0,0,0,1,Keith Appling
Jarell Eddie,0,0,1,0,0,4,Jarell Eddie
Oleksiy Pecherov,0,0,0,0,1,3,Oleksiy Pecherov
Sasha Kaun,0,0,0,0,1,2,Sasha Kaun
Coty Clarke,0,0,1,0,0,1,Coty Clarke
Yakhouba Diawara,0,1,1,0,0,1,Yakhouba Diawara
John Lucas III,1,0,0,0,0,1,John Lucas III
